instruction, match_string, sim__disasm_format, imm_type, alu_funct, alu_addy_funct, alu_op1_sel, alu_op2_sel, branch_cond, wb_active, wb_source, barr_load, barr_sync, yield, mem_active, mem_loadstore, mem_opsize, mem_store_source, mem_extendmode, is_jalr, is_lr, is_sc

'OP-type instructions
ADD,  0000000_?????_?????_000_?????_01100, "add $d, $1, $2", x, ADDY, ADD, RS1, RS2, NEVER, 1, ALU, 0,0,0,0,x,x,x,x,0,0,0
SH1ADD,  0010000_?????_?????_010_?????_01100, "sh1add $d, $1, $2", x, ADDY, SH1ADD, RS1, RS2, NEVER, 1, ALU, 0,0,0,0,x,x,x,x,0,0,0
SH2ADD,  0010000_?????_?????_100_?????_01100, "sh2add $d, $1, $2", x, ADDY, SH2ADD, RS1, RS2, NEVER, 1, ALU, 0,0,0,0,x,x,x,x,0,0,0
SH3ADD,  0010000_?????_?????_110_?????_01100, "sh3add $d, $1, $2", x, ADDY, SH3ADD, RS1, RS2, NEVER, 1, ALU, 0,0,0,0,x,x,x,x,0,0,0
SUB,  0100000_?????_?????_000_?????_01100, "sub $d, $1, $2", x, ADDY, SUB, RS1, RS2, NEVER, 1, ALU, 0,0,0,0,x,x,x,x,0,0,0
SLL,  0000000_?????_?????_001_?????_01100, "sll $d, $1, $2", x, SLL, x, RS1, RS2, NEVER, 1, ALU, 0,0,0,0,x,x,x,x,0,0,0
SLT,  0000000_?????_?????_010_?????_01100, "slt $d, $1, $2", x, SLT, x, RS1, RS2, NEVER, 1, ALU, 0,0,0,0,x,x,x,x,0,0,0
SLTU, 0000000_?????_?????_011_?????_01100, "sltu $d, $1, $2", x, SLTU, x, RS1, RS2, NEVER, 1, ALU, 0,0,0,0,x,x,x,x,0,0,0
XOR,  0000000_?????_?????_100_?????_01100, "xor $d, $1, $2", x, XOR, x, RS1, RS2, NEVER, 1, ALU, 0,0,0,0,x,x,x,x,0,0,0
SRL,  0000000_?????_?????_101_?????_01100, "srl $d, $1, $2", x, SRL, x, RS1, RS2, NEVER, 1, ALU, 0,0,0,0,x,x,x,x,0,0,0
SRA,  0100000_?????_?????_101_?????_01100, "sra $d, $1, $2", x, SRA, x, RS1, RS2, NEVER, 1, ALU, 0,0,0,0,x,x,x,x,0,0,0
OR,   0000000_?????_?????_110_?????_01100, "or $d, $1, $2", x, OR, x, RS1, RS2, NEVER, 1, ALU, 0,0,0,0,x,x,x,x,0,0,0
AND,  0000000_?????_?????_111_?????_01100, "and $d, $1, $2", x, AND, x, RS1, RS2, NEVER, 1, ALU, 0,0,0,0,x,x,x,x,0,0,0

'OP-IMM-type instructions
ADDI, ???????_?????_?????_000_?????_00100, "addi $d, $1, $i", I, ADDY, ADD,RS1, IMM, NEVER, 1, ALU, 0,0,0,0,x,x,x,x,0,0,0
SLLI, 0000000_?????_?????_001_?????_00100, "slli $d, $1, $i", I, SLL, x, RS1, IMM, NEVER, 1, ALU, 0,0,0,0,x,x,x,x,0,0,0
SLTI, ???????_?????_?????_010_?????_00100, "slti $d, $1, $i", I, SLT, x, RS1, IMM, NEVER, 1, ALU, 0,0,0,0,x,x,x,x,0,0,0
SLTIU,???????_?????_?????_011_?????_00100, "sltiu $d, $1, $i", I, SLTU, x, RS1, IMM, NEVER, 1, ALU,0,0,0,0,x,x,x,x,0,0,0
XORI, ???????_?????_?????_100_?????_00100, "xori $d, $1, $i", I, XOR, x, RS1, IMM, NEVER, 1, ALU, 0,0,0,0,x,x,x,x,0,0,0
SRLI, 0000000_?????_?????_101_?????_00100, "srli $d, $1, $i", I, SRL, x, RS1, IMM, NEVER, 1, ALU, 0,0,0,0,x,x,x,x,0,0,0
SRAI, 0100000_?????_?????_101_?????_00100, "srai $d, $1, $i", I, SRA, x, RS1, IMM, NEVER, 1, ALU, 0,0,0,0,x,x,x,x,0,0,0
ORI,  ???????_?????_?????_110_?????_00100, "ori $d, $1, $i", I, OR, x, RS1, IMM, NEVER, 1, ALU, 0,0,0,0,x,x,x,x,0,0,0
ANDI, ???????_?????_?????_111_?????_00100, "andi $d, $1, $i", I, AND, x, RS1, IMM, NEVER, 1, ALU, 0,0,0,0,x,x,x,x,0,0,0

'Branch operations
BEQ,  ???????_?????_?????_000_?????_11000, "beq $1, $2, $p", B, ADDY, SUB, RS1, RS2, ZERO, 0, x, 0,0,0,0,x,x,x,x,0,0,0
BNE,  ???????_?????_?????_001_?????_11000, "bne $1, $2, $p", B, ADDY, SUB, RS1, RS2, NONZERO, 0, x,0, 0,0,0,x,x,x,x,0,0,0
BLT,  ???????_?????_?????_100_?????_11000, "blt $1, $2, $p", B, SLT, x, RS1, RS2, ZERO, 0, x, 0,0,0,0,x,x,x,x,0,0,0
BGE,  ???????_?????_?????_101_?????_11000, "bge $1, $2, $p", B, SLT, x, RS1, RS2, NONZERO, 0, x,0, 0,0,0,x,x,x,x,0,0,0
BLTU, ???????_?????_?????_110_?????_11000, "bltu $1, $2, $p", B, SLTU, x, RS1, RS2, ZERO, 0, x, 0,0,0,0,x,x,x,x,0,0,0
BGEU, ???????_?????_?????_111_?????_11000, "bgeu $1, $2, $p", B, SLTU, x, RS1, RS2, NONZERO, 0, x,0, 0,0,0,x,x,x,x,0,0,0

'Jump operations
JAL,  ???????_?????_?????_???_?????_11011, "jal $d, $p", J, x, x, x, x, ALWAYS, 1, PC_P4, 0,0,0,0,x,x,x,x,0,0,0
JALR, ???????_?????_?????_000_?????_11001, "jalr $d, $i($1)", I, ADDY, ADD, RS1, IMM, COALESCE, 1, PC_P4, 0,0,0,0,x,x,x,x,1,0,0

'LUI and AUIPC`
LUI,  ???????_?????_?????_???_?????_01101, "lui $d, $i", U, OP2, x, x, IMM, NEVER, 1, ALU, 0,0,0,0,x,x,x,x,0,0,0
AUIPC,???????_?????_?????_???_?????_00101, "auipc $d, $i", U, ADDY, ADD, PC, IMM, NEVER, 1, ALU, 0,0,0,0,x,x,x,x,0,0,0

'Memory operations
LB,   ???????_?????_?????_000_?????_00000, "lb $d, $i($1)", I, ADDY, ADD, RS1, IMM, NEVER, 1, MEM, 0,0,0,1,LOAD,BYTE,x,SIGN,0,0,0
LH,   ???????_?????_?????_001_?????_00000, "lh $d, $i($1)", I, ADDY, ADD, RS1, IMM, NEVER, 1, MEM, 0,0,0,1,LOAD,HALF,x,SIGN,0,0,0
LW,   ???????_?????_?????_010_?????_00000, "lw $d, $i($1)", I, ADDY, ADD, RS1, IMM, NEVER, 1, MEM, 0,0,0,1,LOAD,WORD,x,x,0,0,0
LBU,  ???????_?????_?????_100_?????_00000, "lbu $d, $i($1)", I, ADDY, ADD, RS1, IMM, NEVER, 1, MEM, 0,0,0,1,LOAD,BYTE,x,ZERO,0,0,0
LHU,  ???????_?????_?????_101_?????_00000, "lhu $d, $i($1)", I, ADDY, ADD, RS1, IMM, NEVER, 1, MEM, 0,0,0,1,LOAD,HALF,x,ZERO,0,0,0
SB,   ???????_?????_?????_000_?????_01000, "sb $2, $i($1)", S, ADDY, ADD, RS1, IMM, NEVER, 0, x, 0,0,0,1,STORE,BYTE,RS2,x,0,0,0
SH,   ???????_?????_?????_001_?????_01000, "sh $2, $i($1)", S, ADDY, ADD, RS1, IMM, NEVER, 0, x, 0,0,0,1,STORE,HALF,RS2,x,0,0,0
SW,   ???????_?????_?????_010_?????_01000, "sw $2, $i($1)", S, ADDY, ADD, RS1, IMM, NEVER, 0, x, 0,0,0,1,STORE,WORD,RS2,x,0,0,0

LR,   00010??_00000_?????_010_?????_01011, "lr.w $d, ($1)" , x, OP1, x, RS1, x, NEVER, 1, MEM, 0,0,0,1,LOAD,WORD,x,x,0,1,0
SC,   00011??_?????_?????_010_?????_01011, "sc.w $d, $2, ($1)", x, OP1, x, RS1, x, NEVER, 1, SC, 0,0,0,1,STORE,WORD,RS2,x,0,0,1

'Barrier operations
BINIT,???????_?????_?????_001_00000_00010, "binit $i($1)", I, ADDY, ADD, RS1, IMM, NEVER, 0, x, 0,0,0,1,STORE,WORD,BINIT,x,0,0,0
BSYNC_0,???????_?????_?????_010_00000_00010, "bsync $i($1)", I, ADDY, ADD, RS1, IMM, NEVER, 0, x, 1,0,0,1,LOAD,WORD,x,x,0,0,0
~BSYNC_1,, "bsync $i($1)", I, ADDY, ADD, RS1, IMM, NEVER, 0, x, 0,1,0,1,STORE,WORD,BSYNC,x,0,0,0
YIELD,0000000_00000_00000_100_00000_00010, "yield", x, x, x, x, x, NEVER, 0, x, 0,0,1,0,x,x,x,x,0,0,0

'CSR operations
CSR_MHARTID,1111000_10100_?????_???_?????_11100, "csrr $d, mhartid", x, HARTID, x, x, x, NEVER, 1, ALU, 0,0,0,0,x,x,x,x,0,0,0
CSR_XWARPID,1100110_00000_?????_???_?????_11100, "csrr $d, xwarpid", x, WARPID, x, x, x, NEVER, 1, ALU, 0,0,0,0,x,x,x,x,0,0,0
CSR_XTHRID,1100110_00001_?????_???_?????_11100, "csrr $d, xthrid", x, THRID, x, x, x, NEVER, 1, ALU, 0,0,0,0,x,x,x,x,0,0,0
CSR_OTHER,???????_?????_?????_???_?????_11100, "csrr $d, $i", x, ZERO, x, x, x, NEVER, 1, ALU, 0,0,0,0,x,x,x,x,0,0,0

'FENCE operations (NOP)
FENCE, ????????????_?????_000_?????_00011, "fence", x, x, x, x, x, NEVER, 0, x, 0,0, 0, 0, x, x, x, x,0,0,0

'Zicond operations
CZERO_EQZ, 0000111_?????_?????_101_?????_01100, "czero.eqz $d, $1, $2", x, CZERO_EQZ, x, RS1, RS2, NEVER, 1, ALU, 0,0,0,0,x,x,x,x,0,0,0
CZERO_NEZ, 0000111_?????_?????_111_?????_01100, "czero.nez $d, $1, $2", x, CZERO_NEZ, x, RS1, RS2, NEVER, 1, ALU, 0,0,0,0,x,x,x,x,0,0,0
